OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Appropriate Testing for Children with Pharyngitis|Individual Characteristic|0002|CMS146v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Pregnant women that had HBsAg testing|Individual Characteristic|Not Applicable|CMS158v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Individual Characteristic|0028|CMS138v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Oncology: Medical and Radiation – Pain Intensity Quantified|Individual Characteristic|0384|CMS157v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Individual Characteristic|0068|CMS164v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Bipolar Disorder and Major Depression: Appraisal for alcohol or chemical substance use|Individual Characteristic|0110|CMS169v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Appropriate Treatment for Children with Upper Respiratory Infection (URI)|Individual Characteristic|0069|CMS154v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Depression Remission at Twelve Months|Individual Characteristic|0710|CMS159v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Individual Characteristic|NA|CMS179v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Functional Status Assessment for Hip Replacement|Individual Characteristic|Not Applicable|CMS56v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|HIV/AIDS: Medical Visit|Individual Characteristic|Not Applicable|CMS62v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Preventive Care and Screening: Risk-Stratified Cholesterol – Fasting Low Density Lipoprotein (LDL-C)|Individual Characteristic|Not Applicable|CMS64v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Children Who Have Dental Decay or Cavities|Individual Characteristic|Not Applicable|CMS75v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Closing the Referral Loop: Receipt of Specialist Report|Individual Characteristic|Not Applicable|CMS50v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists|Individual Characteristic|Not Applicable|CMS74v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetes: Foot Exam|Individual Characteristic|0056|CMS123v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Use of Appropriate Medications for Asthma|Individual Characteristic|0036|CMS126v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetes: Eye Exam|Individual Characteristic|0055|CMS131v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Individual Characteristic|0108|CMS136v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Individual Characteristic|0089|CMS142v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Hemoglobin A1c Test for Pediatric Patients|Individual Characteristic|0060|CMS148v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Individual Characteristic|0083|CMS144v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Median Time from ED Arrival to ED Departure for Discharged ED Patients|Individual Characteristic|0496|CMS32v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Individual Characteristic|0142|CMS100v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Individual Characteristic|0528|CMS172v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Individual Characteristic|0639|CMS30v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Individual Characteristic|0436|CMS71v4|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Individual Characteristic|0371|CMS108v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Individual Characteristic|0373|CMS73v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Individual Characteristic|0438|CMS72v3|
2.16.840.1.113762.1.4.1|20140701|National Library of Medicine|Extensional||FY 2014 EH|Exclusive Breast Milk Feeding|Individual Characteristic|0480|CMS9v3|
2.16.840.1.113762.1.4.1021.10|20140401|MD Partners|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1021.10|20140401|MD Partners|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1021.11|20140401|MD Partners|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1021.11|20140401|MD Partners|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1021.12|20140401|MD Partners|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1021.12|20140401|MD Partners|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1021.13|20140401|MD Partners|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1021.13|20140401|MD Partners|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1021.3|20140401|MD Partners|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Medication|0142|CMS100v3|
2.16.840.1.113762.1.4.1021.4|20140401|MD Partners|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Medication|0373|CMS73v3|
2.16.840.1.113762.1.4.1021.6|20140401|MD Partners|Extensional||FY 2014 EH|Thrombolytic Therapy|Medication|0437|CMS91v4|
2.16.840.1.113762.1.4.1021.7|20140401|MD Partners|Extensional||FY 2014 EH|Discharged on Statin Medication|Medication|0439|CMS105v3|
2.16.840.1.113762.1.4.1021.7|20140401|MD Partners|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Medication|0639|CMS30v4|
2.16.840.1.113762.1.4.1021.8|20140401|MD Partners|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Medication|0435|CMS104v3|
2.16.840.1.113762.1.4.1021.8|20140401|MD Partners|Extensional||FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Medication|0438|CMS72v3|
2.16.840.1.113762.1.4.1021.9|20140401|MD Partners|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Medication|0436|CMS71v4|
2.16.840.1.113762.1.4.1045.14|20140401|Joint Commission|Extensional||FY 2014 EH|Thrombolytic Therapy|Physical Exam|0437|CMS91v4|
2.16.840.1.113762.1.4.1045.15|20140401|Joint Commission|Extensional||FY 2014 EH|Thrombolytic Therapy|Procedure|0437|CMS91v4|
2.16.840.1.113762.1.4.1045.18|20140401|Joint Commission|Extensional||FY 2014 EH|Assessed for Rehabilitation|Procedure|0441|CMS102v3|
2.16.840.1.113762.1.4.1045.19|20140401|Joint Commission|Extensional||FY 2014 EH|Assessed for Rehabilitation|Procedure|0441|CMS102v3|
2.16.840.1.113762.1.4.1045.21|20140401|Joint Commission|Grouping|(2.16.840.1.113762.1.4.1045.16:Intra-arterial Thrombolytic (t-PA) Therapy),(2.16.840.1.113762.1.4.1045.15:Intravenous Thrombolytic (t-PA) Therapy)|FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Procedure|0438|CMS72v3|
2.16.840.1.113762.1.4.1045.24|20140401|Joint Commission|Extensional||FY 2014 EH|Thrombolytic Therapy|Laboratory Test|0437|CMS91v4|
2.16.840.1.113762.1.4.1045.25|20140401|Joint Commission|Extensional||FY 2014 EH|Thrombolytic Therapy|Laboratory Test|0437|CMS91v4|
2.16.840.1.113762.1.4.1045.26|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Physical Exam|0469|CMS113v3|
2.16.840.1.113762.1.4.1045.27|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Condition/Diagnosis/Problem|0469|CMS113v3|
2.16.840.1.113762.1.4.1045.28|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Physical Exam|0469|CMS113v3|
2.16.840.1.113762.1.4.1045.29|20140401|Joint Commission|Extensional||FY 2014 EH|Exclusive Breast Milk Feeding|Communication|0480|CMS9v3|
2.16.840.1.113762.1.4.1045.3|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Medication|0528|CMS172v4|
2.16.840.1.113762.1.4.1045.31|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Medication|0142|CMS100v3|
2.16.840.1.113762.1.4.1045.32|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Attribute|0453|CMS178v4|
2.16.840.1.113762.1.4.1045.36|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.34:NSTEMI),(2.16.840.1.113762.1.4.1045.33:NSTEMI),(2.16.840.1.113762.1.4.1045.35:NSTEMI)|FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Attribute|0163|CMS53v3|
2.16.840.1.113762.1.4.1045.36|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.34:NSTEMI),(2.16.840.1.113762.1.4.1045.33:NSTEMI),(2.16.840.1.113762.1.4.1045.35:NSTEMI)|FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Attribute|0164|CMS60v3|
2.16.840.1.113762.1.4.1045.39|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Medication||CMS114v3|
2.16.840.1.113762.1.4.1045.39|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1045.39|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1045.41|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113762.1.4.1045.41|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113762.1.4.1045.45|20140401|Joint Commission|Grouping|(2.16.840.1.113762.1.4.1045.43:Thrombocytopenia),(2.16.840.1.113762.1.4.1045.42:Thrombocytopenia),(2.16.840.1.113762.1.4.1045.44:Thrombocytopenia)|FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Condition/Diagnosis/Problem|0373|CMS73v3|
2.16.840.1.113762.1.4.1045.47|20140401|Joint Commission|Extensional||FY 2014 EH|Exclusive Breast Milk Feeding|Physical Exam|0480|CMS9v3|
2.16.840.1.113762.1.4.1045.5|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Medication|0528|CMS172v4|
2.16.840.1.113762.1.4.1045.52|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.50:Laparoscopic Procedures),(2.16.840.1.113762.1.4.1045.51:Laparoscopic Procedures),(2.16.840.1.113762.1.4.1045.4:Laparoscopic Procedures)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113762.1.4.1045.55|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Medication|0469|CMS113v3|
2.16.840.1.113762.1.4.1045.56|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Medication|0469|CMS113v3|
